statement,translation
להוריד,Download
תה,Tea
תבא,Next
מפריע,Interrupting
בשיא,On record
להפקה,Produce
נתקדם,Moving Forward
בומרנג,Boomerang
למסטיק,For chewing gum
הטעם,The Taste
גלים,Waves
כשאני,When I
בבגד,Dressed
מוריד,Downloading
כשכולם,When everyone
באו,Bao
להרים,Lift
נו,Well.
יורד,Going down
נמוך,Low
באסים,Bassim
לחברות,For membership
מנסות,Try
להרעיד,Shake
המכונית,The Car
הרצפה,The floor
נעביר,We move
הילוך,Gear
תתקע,Plug
רוורס,REVERS
תקשיב,Listen up.
מיציתי,I've exhausted
ריו,Rio
שמעו,Listen
נתקע,Stuck
מיותר,Unneeded
באתי,I came
להציל,Save
תקשיבי,Listen.
תיפרדי,Break up.
מהחברים,Members
פרימיטיבי,Primitive
רואים,See?
מאמי,Mommy.
נאיבית,Naive
תמחקי,Delete
התמונות,Images
האלה,The Goddess
פרובוקטיבי,Provocative
היפרקטיבי,Hyperactive
חוש,Sense
הבלש,The Detective
פתחתי,Opened
אינסטגרם,Instagram
פיקטבי,Picketby
השתנתי,I changed
קשר,Contact
אינטנסיבי,Intense
מידי,Midi
תבואי,Come.
שורף,Burning
אספנו,Collected
ארגזים,Boxes
זיכרונות,Memories
מופיעה,Appears
בזריחות,In Sunrises
בשקיעות,At sunsets
מטיילת,Traveler
בדמיון,Imagination
בורחת,Running away
מחפשת,Search
להסתגר,Shut down
נורמלי,Normal
גבר,Man
הזוי,Holy shit.
שבור,Broken
השינוי,The Change
הגבר,The man
המצוי,The Common
פיצוי,Compensation
ציפוי,Coating
ללב,Heart
בריא,Healthy
חולה,Sick
להגן,Protect
היקום,The Universe
הפכתי,I became
לנאיבית,Nave
שבזוגות,In pairs
בחוץ,Outside
התחלתי,I started
לקנא,Envy
חיה,Animal
בכלוב,In the Cage
מוכנה,Ready
ריבונו,Lord.
להודות,Admit
חיכתה,Waiting
להיכנס,Enter
כלבנה,Calvena
טעתה,Wrong.
אנא,Please
סלח,Forgive
תשלח,Send
הזעם,The rage
מנוחה,Rest
שלח,Send
ברכה,Blessing
תבוא,Come.
קדושה,Sacred
כילדה,As a child
שאבדה,Lost
במרומיו,At its heights
שמצאה,Found
כה,As
תאומה,Twin
בחופתך,In your canopy
תשמש,Use
מסיבה,Party
הגדול,The Great
אמוס,Amos
בלאגנוס,In Laganus
הצבע,Color
ללחיים,Cheeks
משתזפת,Sunbathing
מתייפייפת,Beautiful
בצהריים,Noon
אתכן,You.
בננות,Bananas
הקיץ,Summer
בגננות,In Gardening
תורידו,Download
הטיץ,Hetitz
תעלו,Get up
נוציא,Exclude
החתיכים,The studs
במלדיבים,In Maldives
התל,The mound
אביבים,Avivim
האאאא,Aah!
הגל,Hegel
מזגן,Air conditioner
בריזה,Briza
מתמנגלת,Manganese
שמשהו,Something
למלצרית,For the waitress
אבטיח,Watermelon
בולגרית,Bulgarian
בכיף,Have fun
זוללת,Gourd
הביקיני,The bikini
המרטיני,The Martini
בגזיבו,Gazebo
מהרצליה,Herzelia
לברזיליה,To Brasilia
מסובבות,Rotation
הראשים,The Heads
רונאלדיניו,Ronaldinho
סי,C
פארט,Paret
תכחול,Blue
תכלס,Cache
באלכוהול,In alcohol
חברה,Company
עליי,About me
ישראל,Israel
מתייבשת,Drying
טבעת,Ring
אלא,Except
שתה,Drink
מיץ,Juice
תכף,Coming Soon
יאללה,Come on
ביי,Bye-bye
זהבה,Zehava
טיפת,Drop
מזל,Luck
צא,Quit
עוף,Chicken
גוזל,chickpeas
שייד,Shade
מקסימום,Max
תסיים,Finish
ידיד,Friend
סורי,Suri
דתיה,Religion
חייב,Must
אביה,Her father
בבאר,In the well
שבת,Saturday
טיול,Trip
שלישי,Third
עובדת,Working
חמש,Five.
רביעי,Wednesday
לובשות,Dressed
רוד,Rod
חמישי,Thursday
יוצאות,Outgoing
פוס,Foss
בשורות,In rows
צורחת,Screaming
הרמתי,Lifted
תודה,Thanks.
הועצמתי,Empowered
הוודג,The Wedg
ממרוקו,From Morocco
הקלאס,The Class
מצרפת,From France
מרימה,Lifting
בגוש,In the Bloc
דן,Dan
מכירה,Sale
צפת,Safed
אשת,Wife
אביר,Knight
נסיכה,Princess
שטוב,Good.
עליז,Perky
כף,Spoon
ימחא,YMCA
נשרפת,Burned
בדמקה,In checkers
חבל,Pity.
גלגל,Wheel
פויה,Puya
מאמא,Mama
מיה,Mia
ואעליה,and Aliya
אתם,You
יודעים,Know
שאתם,That you
אוהבים,Lovers
קסו,Xu
הפשוטע,The Plain
ייק,Ike
יז,Yz
מו,Moe.
צו,Order
יף,FIF
עו,Oo
רו,Rowe
גו,Goo
ינ,Jan
תו,Character
יפ,Yip
יכ,Yes.
ליפ,Lip
רעה,Bad
טיק,Tick
טוק,Knock!
לאבויה,Lavoia
מתאמצת,Efforts
אכפת,Care
צפו,Watch
רודפת,Chasing
מותגים,Brands
פומה,Puma
הא,Huh.
דופקת,Banging
להדליק,Light
האקס,The X
תרגעי,Relax.
להתאמץ,Try
פלקס,Flex
בעל,Husband
טקסט,Text
ברקס,Barks
לשתות,Drink
בלוגה,Beluga
קוראת,Reading
באבאלובה,In Abaluba
נגעו,Touched
השאר,Leave
מקובה,From Cuba
שיייש,SHAYSH
יפהפייה,Beautiful
מותק,Honey.
תרגע,Relax.
שניה,Second
מניה,Share
ביטקוין,Bitcoin
דובשניה,Dubshenya
אזרוק,I will.
אלפיה,Alfie
עשית,You did
מזיעה,Sweating
יה,Yeah.
באה,Coming
ארבע,Four.
חברות,Companies
מגבעתיים,Magpies
שתתה,Drink
הבינו,Understand
שמה,Her name
תשומת,Attention
שתשב,Sit down
מסוג,Type
הבחורות,The girls
שתשים,Put
עוקב,Follower
בטיק,Batik
מאהב,Lover
מאה,One hundred
אלף,Alf
יציאות,Ports
יומולדת,Birthday
הנרות,The Candles
העוגה,The Cake
הלכה,Gone
פתחה,Open
מימונה,Funding
הלגונה,The Lagoon
בפער,In the gap
לוק,Luke.
דובשנייה,Dubshani
אלפייה,Alfie
הכניסיני,Heshini
כנפך,Shell
אחות,Sister
יהי,May
חיקך,Hickey
ראשי,Main
קן,Ken
תפילותי,My Prayers
הנידחות,The Displaced
בעת,On Time
השמשות,The Suns
שחי,Swimming
אגל,Eggel
יסורי,Yasuri
נעורים,Youth
היכן,Where
נעורי,Youth
רז,Raz
אתוודה,Ethode
נפשי,Mental
נשרפה,Burned
בלהבה,Blaze
רימו,Remo
עתה,Now
ממקום,From
השגתי,I got
בעצמי,Myself.
אפחד,I'll be afraid
נתן,Nathan
פרץ,Hack
שעזר,Helped
להצליח,Succeed
בול,Bull
רץ,Running
אליה,Eliya
להתגעגע,Missed
כרטיס,Ticket
שתגשים,Fulfillment
משאלה,Wish
רצונות,Desires
משלה,Her own
שמצטרף,Who Joins
מדי,Too
מלמעלה,From above
הצרות,The Trouble
כשאתה,When you
מרוויח,Earning
סטטוס,Status
פחדן,Coward
חיכיתי,I waited
שתביט,Look!
מעלות,Degrees
נשרף,Burned
שתגיד,Say
שתקתי,I silenced
עליתי,I came up
דקות,Minutes
החיוך,The Smile
הצלחת,The plate
להפוך,Become
המסכות,The Masks
מגיעות,Coming
שהוא,Which is
מלא,Full
בכלום,Nothing.
כותבת,Writing
סיכון,Risk
עירום,Naked
מטייל,Traveler
לידי,Liddy
שיגיע,Arrived
אלוהים,God.
בלבבי,In my heart
גורלי,Destiny
אכזר,Cruel
נחמה,Comfort
איני,Ini
ארמונות,Palaces
בפינה,Corner
חמה,Hot
שאותי,Shaotai
הוי,Oh.
אלוהי,Divine
תפילתי,My Prayer
עייפתי,Tired
בחיי,"Oh, man."
אפורים,Grays
לילותי,Nights
קרים,Cold
נשארים,Remaining
אפלים,Dark
בנה,Her Son
שביל,Trail
ביתי,Home
לעיני,In My Eyes
יצאנו,We went out
אט,Slow
חיוור,Pale
הליל,The Night
במרחקים,Distances
הבליחו,Blejo
האורות,The lights
כשתי,As I drink
עצורות,Stops
ילל,Howl
התן,Jackal
לכרם,Carm
דמעתך,Your Tears
נשרה,Dropout
שרף,Burn
זכרת,Remembered
בטרם,Before
במשעול,In the Lane
לקרב,For battle
צחוקנו,Laughter
נחל,River
מפוחית,harmonica
ערימת,Stacking
השחת,Corruption
ידו,His hand
נותרת,Remaining
חובקת,Hugged
פוסעת,pacing
בכרמים,In the vineyards
נפרדנו,We parted
חייכנו,Smiled
במבט,In look
מבינה,Understand
דומה,Similar
שברו,BROKE
תירוץ,Excuse
שקשה,Difficult
תספר,Tell
למדתי,I learned
עוזבים,Leaving
לשקר,Lying
קבלתי,Received
פרח,Flower
מתנה,Gift
שהדופק,The Pulse
השתנה,Changed
משגעון,Madaion
מהשפיות,From sanity
אהבו,Likes
לפניי,Before Me
בטירוף,Crazy.
בשפיות,In sanity
מדמיין,Imagine
נשארו,Remained
זמניות,Temporary
מקורי,Original
שמעת,You heard
מכירות,Sales
שורט,Short
שבאתי,I came
שלם,Pay
אילו,Which
כשפגשתי,When I met
הפכת,You became
שהתרגל,Practiced
לייבש,Dry
לבבות,Hearts
להמציא,Invent
קלישאות,Clichés
לחשו,Whisper
גסויות,Rudeness
תדעי,Know
מתנדנדים,Swinging
מצד,Side
לצלילי,To the tune
טמבורין,Tamborin
בטוקדה,In Tokda
הקצב,Butcher
לראש,Head
שמאל,Left
ישבן,Ass
להזיז,Move
בזריז,Hurry!
פופה,Popa
פופפה,Poppa
בריו,In Rio
נפסיק,Stop
הזמינו,Order
ניידת,Mobile
מד,Med
סימפוניה,Symphony
בתקליט,On record
באך,Bach
קמה,Cama
בושם,Perfume
זרוק,Drop
הצוואר,The neck
הבאתי,I brought
קינוח,Dessert
שיה,Xia
צועקים,Shouting
מקרוב,Close up
קוראים,Readers
לוקה,Luka
מוקה,Mocha
זורחת,Shining
ערב,Evening
נדלקו,Lighted
קצב,Rate
שמפניה,Champagne
אצלה,At her
מבלי,Without
יכולה,Can
חופש,Freedom
מהרוח,From the Spirit
הינה,Here.
לפנים,Forward
לימונדה,Lemonade
שוקולדה,Chocolate
בלדה,Ballad
להפסיק,Stop
תרקוד,Dance
שקורה,Happening
עשרים,Twenty
בצל,Onion
מהשמים,From Heaven
מהבגדים,From Clothes
להינצל,To be saved
חייבת,Must
לקפוץ,Jump
מרחוק,Remote
מזיז,Moving
התייבשו,Dry
מעליי,Above me
זרקתי,I threw
לונג,Long
ביקיני,Bikini
כסא,Chair
פנוי,Clear
אנ,I am
מטקות,Matkot
כדור,Ball
קסטות,Cassettes
דיבור,Speech
כיף,Fun
אפס,Reset
דאגות,Concerns
שהכל,Everything
יישרף,Burned
מגבות,Towel
נוסעים,Passengers
במכונית,In car
הגג,The Roof
כפכף,Glove
בחול,In the Sand
הגלידות,The Ice Cream
בצורת,Shaped
יבשו,Drying
כסדק,As a crack
שדי,Breasts
קמל,Camel
נותר,Remaining
לקצור,Harvest
לחשתי,I whispered
היכה,Beaten
קור,Cold
כחרב,As a Sword
המבט,The Look
סגרירי,Seghri
מסדקי,Masadki
קירות,Walls
ניבט,Nivet
העצב,The sadness
לעת,Time
עלה,Go Up
נושר,Dropout
גג,Roof
שומעת,Hear
זוכרת,Remember
בדידותי,Solitude
זועקת,Screaming
אליט,Elite
כפות,Spoon
ידי,Hands
צערי,My sorrows
חילקתי,Divided
פת,Path
לחם,Bread
האומנם,Is it?
אשא,Asha
לוחשות,Whispers
עוני,Poverty
עששית,Toothless
בחלוני,In my window
לרחובות,The Streets
לבוש,Dressed
הדגל,The Flag
מהבטן,From the stomach
לשכל,Mindfulness
הגאות,The Tide
מהשפל,From the Depression
מדליק,Cool
הקבוצה,The Group
איצטדיון,Stadium
כדורגל,Football
ספריי,Spray
קצף,Foam
זיקוקים,Fireworks
חגיגות,Celebrations
מסופקים,Satisfied
ישראלי,Israeli
אסלי,Assley
כשהעם,When the people
נחליאלי,Nachalali
עזריאלי,Azrieli
השירים,The songs
השבתות,Shutdowns
החגים,Holidays
המפרום,Hemp
המזרחית,The East
מעריץ,Fan
מספר,Number
החיילים,The Soldiers
ישראלים,Israelis
תראו,Look.
אצלנו,About Us
פראיירים,Suckers
מנפנפים,Swinging
במנגלים,In barbecues
מדינה,Country
באריזה,In packaging
מנפנים,Manipulators
ששש,Shh.
לבמה,To the stage
שיר,Song
קריאת,Read
השכמה,Wake up.
מייצג,Represents
המדינה,The State
שחקן,Player
כחול,Blue
בהמנון,In Anthem
גלות,Exile
יושבת,Sitting
בילט,Bilt
היפ,Hip
הופ,Hope
ציוני,Scores
הדרים,Citrus
טים,Tim
החופים,Beaches
הסרטים,The Movies
הישנים,The Old
השורשים,Roots
העמוקים,The Deep
אחים,Brothers
בדם,In Blood
מהיום,From Today
שנולדתי,I was born
כשקשה,When difficult
נוותר,We give up
אדמתינו,Our Land
סופות,Storms
כתבת,Reporter
שתשוב,Come back
נפלו,Fallen
גשמים,Rainfall
נסחף,Drifting
אהובי,My Beloved
לקח,Taken
מטוס,Plane
מזכיר,Secretary
נשארנו,We stayed
שלכת,Dropping
תבטיחי,Promise
שננצח,We will win
חץ,Arrow
מאירה,Meira
תאמרי,Say
כשאוהבים,When loved
בסך,Total
שאיבדו,Lost
שיחזיק,Hold on.
חודשיים,2 Months
להתקשר,Call
פגוע,Damaged
מגעגוע,Touching
מתיש,Exhausting
רחוקים,Far Away
מתים,Dead
מדאגה,Concerned
האגו,The Ego
מתפרקים,Dismantle
לגו,Lego
שתתקשר,Call
